tiempo,posicion,velocidad,regimen
0,1,0,transitorio
0.01,0.9997,-0.03,transitorio
0.02,0.999102,-0.05984,transitorio
0.03,0.998206,-0.0895129,transitorio
0.04,0.997016,-0.119012,transitorio
0.05,0.995533,-0.148329,transitorio
0.06,0.993758,-0.177459,transitorio
0.07,0.991695,-0.206394,transitorio
0.08,0.989343,-0.235127,transitorio
0.09,0.986707,-0.263653,transitorio
0.1,0.983787,-0.291965,transitorio
0.11,0.980587,-0.320056,transitorio
0.12,0.977107,-0.34792,transitorio
0.13,0.973352,-0.375551,transitorio
0.14,0.969322,-0.402944,transitorio
0.15,0.965021,-0.430091,transitorio
0.16,0.960452,-0.456988,transitorio
0.17,0.955615,-0.483629,transitorio
0.18,0.950515,-0.510008,transitorio
0.19,0.945154,-0.53612,transitorio
0.2,0.939534,-0.561959,transitorio
0.21,0.933659,-0.58752,transitorio
0.22,0.927531,-0.612797,transitorio
0.23,0.921153,-0.637787,transitorio
0.24,0.914529,-0.662484,transitorio
0.25,0.90766,-0.686883,transitorio
0.26,0.90055,-0.710979,transitorio
0.27,0.893202,-0.734768,transitorio
0.28,0.88562,-0.758245,transitorio
0.29,0.877806,-0.781406,transitorio
0.3,0.869763,-0.804246,transitorio
0.31,0.861496,-0.826762,transitorio
0.32,0.853006,-0.84895,transitorio
0.33,0.844298,-0.870804,transitorio
0.34,0.835375,-0.892322,transitorio
0.35,0.82624,-0.9135,transitorio
0.36,0.816897,-0.934333,transitorio
0.37,0.807348,-0.95482,transitorio
0.38,0.797599,-0.974955,transitorio
0.39,0.787651,-0.994736,transitorio
0.4,0.77751,-1.01416,transitorio
0.41,0.767178,-1.03322,transitorio
0.42,0.756658,-1.05192,transitorio
0.43,0.745956,-1.07025,transitorio
0.44,0.735074,-1.08821,transitorio
0.45,0.724016,-1.10581,transitorio
0.46,0.712786,-1.12302,transitorio
0.47,0.701387,-1.13986,transitorio
0.48,0.689824,-1.15632,transitorio
0.49,0.6781,-1.17239,transitorio
0.5,0.666219,-1.18809,transitorio
0.51,0.654185,-1.20339,transitorio
0.52,0.642002,-1.21831,transitorio
0.53,0.629674,-1.23283,transitorio
0.54,0.617204,-1.24697,transitorio
0.55,0.604597,-1.26071,transitorio
0.56,0.591856,-1.27405,transitorio
0.57,0.578986,-1.287,transitorio
0.58,0.565991,-1.29955,transitorio
0.59,0.552874,-1.3117,transitorio
0.6,0.53964,-1.32344,transitorio
0.61,0.526292,-1.33479,transitorio
0.62,0.512834,-1.34573,transitorio
0.63,0.499272,-1.35627,transitorio
0.64,0.485608,-1.3664,transitorio
0.65,0.471847,-1.37612,transitorio
0.66,0.457992,-1.38544,transitorio
0.67,0.444049,-1.39435,transitorio
0.68,0.43002,-1.40285,transitorio
0.69,0.415911,-1.41095,transitorio
0.7,0.401724,-1.41863,transitorio
0.71,0.387465,-1.42591,transitorio
0.72,0.373137,-1.43278,transitorio
0.73,0.358745,-1.43923,transitorio
0.74,0.344292,-1.44528,transitorio
0.75,0.329783,-1.45092,transitorio
0.76,0.315221,-1.45615,transitorio
0.77,0.300612,-1.46097,transitorio
0.78,0.285958,-1.46538,transitorio
0.79,0.271264,-1.46939,transitorio
0.8,0.256534,-1.47298,transitorio
0.81,0.241773,-1.47617,transitorio
0.82,0.226983,-1.47895,transitorio
0.83,0.21217,-1.48133,transitorio
0.84,0.197337,-1.4833,transitorio
0.85,0.182488,-1.48487,transitorio
0.86,0.167628,-1.48603,transitorio
0.87,0.15276,-1.48679,transitorio
0.88,0.137888,-1.48715,transitorio
0.89,0.123017,-1.48711,transitorio
0.9,0.108151,-1.48667,transitorio
0.91,0.0932922,-1.48584,transitorio
0.92,0.0784461,-1.48461,transitorio
0.93,0.0636163,-1.48298,transitorio
0.94,0.0488067,-1.48096,transitorio
0.95,0.0340212,-1.47855,transitorio
0.96,0.0192636,-1.47575,transitorio
0.97,0.00453794,-1.47257,transitorio
0.98,-0.010152,-1.469,transitorio
0.99,-0.0248024,-1.46504,transitorio
1,-0.0394094,-1.4607,transitorio
1.01,-0.0539692,-1.45598,transitorio
1.02,-0.0684781,-1.45089,transitorio
1.03,-0.0829322,-1.44541,transitorio
1.04,-0.0973279,-1.43957,transitorio
1.05,-0.111661,-1.43335,transitorio
1.06,-0.125929,-1.42677,transitorio
1.07,-0.140127,-1.41982,transitorio
1.08,-0.154252,-1.4125,transitorio
1.09,-0.168301,-1.40483,transitorio
1.1,-0.182268,-1.39679,transitorio
1.11,-0.196153,-1.3884,transitorio
1.12,-0.209949,-1.37966,transitorio
1.13,-0.223655,-1.37057,transitorio
1.14,-0.237266,-1.36113,transitorio
1.15,-0.25078,-1.35134,transitorio
1.16,-0.264192,-1.34122,transitorio
1.17,-0.277499,-1.33076,transitorio
1.18,-0.290699,-1.31996,transitorio
1.19,-0.303787,-1.30883,transitorio
1.2,-0.316761,-1.29737,transitorio
1.21,-0.329617,-1.28559,transitorio
1.22,-0.342351,-1.27348,transitorio
1.23,-0.354962,-1.26106,transitorio
1.24,-0.367445,-1.24832,transitorio
1.25,-0.379798,-1.23527,transitorio
1.26,-0.392017,-1.22191,transitorio
1.27,-0.4041,-1.20825,transitorio
1.28,-0.416043,-1.19429,transitorio
1.29,-0.427843,-1.18003,transitorio
1.3,-0.439498,-1.16548,transitorio
1.31,-0.451004,-1.15065,transitorio
1.32,-0.462359,-1.13552,transitorio
1.33,-0.473561,-1.12012,transitorio
1.34,-0.484605,-1.10444,transitorio
1.35,-0.49549,-1.08849,transitorio
1.36,-0.506213,-1.07226,transitorio
1.37,-0.51677,-1.05578,transitorio
1.38,-0.527161,-1.03903,transitorio
1.39,-0.537381,-1.02203,transitorio
1.4,-0.547429,-1.00478,transitorio
1.41,-0.557302,-0.987282,transitorio
1.42,-0.566997,-0.969541,transitorio
1.43,-0.576513,-0.951562,transitorio
1.44,-0.585846,-0.93335,transitorio
1.45,-0.594995,-0.914909,transitorio
1.46,-0.603958,-0.896244,transitorio
1.47,-0.612731,-0.87736,transitorio
1.48,-0.621314,-0.858262,transitorio
1.49,-0.629703,-0.838953,transitorio
1.5,-0.637898,-0.81944,transitorio
1.51,-0.645895,-0.799727,transitorio
1.52,-0.653693,-0.779819,transitorio
1.53,-0.66129,-0.75972,transitorio
1.54,-0.668685,-0.739437,transitorio
1.55,-0.675875,-0.718973,transitorio
1.56,-0.682858,-0.698335,transitorio
1.57,-0.689633,-0.677527,transitorio
1.58,-0.696199,-0.656554,transitorio
1.59,-0.702553,-0.635421,transitorio
1.6,-0.708694,-0.614135,transitorio
1.61,-0.714621,-0.592699,transitorio
1.62,-0.720332,-0.57112,transitorio
1.63,-0.725827,-0.549403,transitorio
1.64,-0.731102,-0.527553,transitorio
1.65,-0.736158,-0.505575,transitorio
1.66,-0.740993,-0.483476,transitorio
1.67,-0.745605,-0.46126,transitorio
1.68,-0.749994,-0.438933,transitorio
1.69,-0.75416,-0.416501,transitorio
1.7,-0.758099,-0.39397,transitorio
1.71,-0.761813,-0.371344,transitorio
1.72,-0.765299,-0.348629,transitorio
1.73,-0.768557,-0.325832,transitorio
1.74,-0.771587,-0.302958,transitorio
1.75,-0.774387,-0.280013,transitorio
1.76,-0.776957,-0.257002,transitorio
1.77,-0.779296,-0.233931,transitorio
