tiempo,posicion,velocidad,regimen
0,1,0,transitorio
0.01,0.9996,-0.04,transitorio
0.02,0.998808,-0.079184,transitorio
0.03,0.997633,-0.117553,transitorio
0.04,0.996082,-0.155107,transitorio
0.05,0.994163,-0.191848,transitorio
0.06,0.991885,-0.227778,transitorio
0.07,0.989256,-0.262897,transitorio
0.08,0.986284,-0.29721,transitorio
0.09,0.982977,-0.330717,transitorio
0.1,0.979343,-0.363422,transitorio
0.11,0.97539,-0.395327,transitorio
0.12,0.971125,-0.426436,transitorio
0.13,0.966558,-0.456752,transitorio
0.14,0.961695,-0.48628,transitorio
0.15,0.956545,-0.515022,transitorio
0.16,0.951115,-0.542983,transitorio
0.17,0.945413,-0.570168,transitorio
0.18,0.939447,-0.596581,transitorio
0.19,0.933225,-0.622227,transitorio
0.2,0.926754,-0.647112,transitorio
0.21,0.920042,-0.67124,transitorio
0.22,0.913095,-0.694617,transitorio
0.23,0.905923,-0.717248,transitorio
0.24,0.898532,-0.73914,transitorio
0.25,0.890929,-0.760299,transitorio
0.26,0.883121,-0.78073,transitorio
0.27,0.875117,-0.80044,transitorio
0.28,0.866922,-0.819436,transitorio
0.29,0.858545,-0.837724,transitorio
0.3,0.849992,-0.855311,transitorio
0.31,0.84127,-0.872205,transitorio
0.32,0.832386,-0.888412,transitorio
0.33,0.823347,-0.903939,transitorio
0.34,0.814159,-0.918794,transitorio
0.35,0.804829,-0.932984,transitorio
0.36,0.795364,-0.946518,transitorio
0.37,0.78577,-0.959402,transitorio
0.38,0.776053,-0.971645,transitorio
0.39,0.766221,-0.983254,transitorio
0.4,0.756278,-0.994238,transitorio
0.41,0.746232,-1.0046,transitorio
0.42,0.736089,-1.01436,transitorio
0.43,0.725853,-1.02352,transitorio
0.44,0.715533,-1.03208,transitorio
0.45,0.705132,-1.04006,transitorio
0.46,0.694657,-1.04747,transitorio
0.47,0.684114,-1.0543,transitorio
0.48,0.673508,-1.06058,transitorio
0.49,0.662845,-1.06631,transitorio
0.5,0.65213,-1.0715,estacionario
